window_size,lstm_dim,num_layers,dense_dim,dropout,lr,batch_size,num_epochs,optimizer_type,train_mse,test_mse,train_mae,test_mae,train_rmse,test_rmse,train_r2,test_r2,train_mape,test_mape,train_directional_acc,test_directional_acc,training_time,evaluation_time,patience,activation_function
1,65,1,50,0.0,0.0001,8,65,Adam,169587.93218973582,137019.73927352155,244.11287483994647,246.80198782442966,411.81055376196446,370.1617744628983,0.011544115112793518,-0.14663235044267275,454.57719345691976,175.84900636629527,0.37782561894510225,0.38961038961038963,12.545043230056763,0.0025005340576171875,24,Tanh
1,65,1,50,0.0,0.0001,8,80,Adam,170416.6604703842,136680.28379500672,249.87776948232548,243.6359083169833,412.81552837845646,369.7029669816118,0.006713810648305563,-0.14379166022341083,826.6747154443572,165.08015955379406,0.4047362755651238,0.4458874458874459,15.820682287216187,0.0019996166229248047,24,Tanh
1,65,1,65,0.0,0.0001,8,50,Adam,171270.5533822125,149462.01597995384,246.41945675472235,261.73209499967504,413.84846669066263,386.60317637075076,0.0017368322580280093,-0.25075396868831157,234.98242090550775,234.41081769974735,0.36706135629709363,0.4069264069264069,9.809473037719727,0.003006458282470703,24,Tanh
1,65,1,65,0.0,0.0001,8,65,Adam,170093.216271208,131464.08853782213,246.452248795725,239.53148044453349,412.423588403001,362.57976851697356,0.008599029236563749,-0.10014059024017286,588.7624298649984,134.08083518550876,0.3132400430570506,0.3246753246753247,12.83500051498413,0.0024983882904052734,24,Tanh
1,65,1,65,0.0,0.0001,8,80,Adam,169479.26319568575,135163.7618301707,244.51591262848717,243.65728383946256,411.67859210272974,367.64624549989725,0.012177500432648647,-0.1311008380524048,517.8377672395444,160.05702203095746,0.36490850376749195,0.3939393939393939,15.919976234436035,0.003000974655151367,24,Tanh
1,65,1,80,0.0,0.0001,8,50,Adam,174355.39294181563,147887.18818301783,251.0522863004552,264.1385866336164,417.5588496748879,384.56103310530284,-0.01624338471407971,-0.23757522153905208,219.49902807136357,236.03517358197738,0.3218514531754575,0.3203463203463203,9.83400583267212,0.002003192901611328,24,Tanh
1,65,1,80,0.0,0.0001,8,65,Adam,170286.5043853422,134566.44659020868,246.72024894063927,243.384028165605,412.65785389998604,366.83299550368787,0.007472435077251927,-0.12610228104752208,545.5494011215977,151.68528049136322,0.33907427341227125,0.354978354978355,12.93411898612976,0.00200653076171875,24,Tanh
1,65,1,80,0.0,0.0001,8,80,Adam,169767.88668278296,139872.12250237292,246.49750130934,247.79488836990083,412.0289876729342,373.99481614371734,0.010495236956384657,-0.17050215856960382,629.5870829381798,183.62328345474143,0.38643702906350913,0.4329004329004329,15.65736699104309,0.0020008087158203125,24,Tanh
1,80,1,50,0.0,0.0001,8,50,Adam,174567.51680274075,151025.95880541689,251.94018555237147,268.65054101014954,417.81277721335994,388.6205846393329,-0.0174797644254725,-0.2638416263311192,250.2662216159516,253.54246065598414,0.34660925726587727,0.3463203463203463,10.174501419067383,0.004495143890380859,24,Tanh
1,80,1,50,0.0,0.0001,8,65,Adam,170505.80904477727,136425.36232232075,248.9126537121028,246.41480248242127,412.9234905461026,369.3580408253227,0.0061942015472904455,-0.14165838213549442,742.2411259632537,168.02573571715385,0.32508073196986004,0.3333333333333333,13.124154329299927,0.003499746322631836,24,Tanh
1,80,1,50,0.0,0.0001,8,80,Adam,169518.30565496543,141622.47023531952,245.1579394369942,250.72191207241386,411.7260079894947,376.3276102484636,0.011949938552878181,-0.18514972209411296,563.4445271159968,195.43913493830294,0.3745963401506997,0.44155844155844154,16.42159390449524,0.003498077392578125,24,Tanh
1,80,1,65,0.0,0.0001,8,50,Adam,170016.0906702195,140890.63775103513,245.58413746256852,252.38034122716243,412.33007490385603,375.3540165644097,0.009048561542242317,-0.17902547455113527,427.07527394987943,195.82156191781996,0.35522066738428415,0.33766233766233766,10.048932790756226,0.003000020980834961,24,Tanh
1,80,1,65,0.0,0.0001,8,65,Adam,170001.2548780993,136765.21780060147,246.87522416007542,245.5169681305412,412.3120843221786,369.817817040501,0.009135033060815756,-0.14450241970218358,658.9874250322014,170.4214403851075,0.348762109795479,0.4025974025974026,13.241353034973145,0.003017425537109375,24,Tanh
1,80,1,65,0.0,0.0001,8,80,Adam,170456.80896020986,147740.1151268815,244.69565960365694,259.5710009105452,412.8641531547754,384.36976354401435,0.00647980218717803,-0.2363444592785302,269.16813828889576,231.06355937626088,0.33476856835306784,0.38961038961038963,16.162325620651245,0.002499818801879883,24,Tanh
1,80,1,80,0.0,0.0001,8,50,Adam,170470.3307677118,138887.15400067228,248.278642395688,249.21941810971697,412.8805284434128,372.67566864590486,0.0064009893257496175,-0.16225957429521354,718.2805393444239,185.06488436044023,0.34768568353067814,0.36796536796536794,10.096245527267456,0.003000497817993164,24,Tanh
1,80,1,80,0.0,0.0001,8,65,Adam,169922.68278193724,132411.6470286056,246.38816609917657,239.84069719388563,412.2167909995143,363.8841120859849,0.009592996371273643,-0.1080701135718447,653.7391564778356,141.3054030143802,0.34230355220667386,0.3852813852813853,13.093930006027222,0.0050048828125,24,Tanh
1,80,1,80,0.0,0.0001,8,80,Adam,170133.5344095866,133074.00651889745,247.9746622219483,238.65027030108104,412.4724650320147,364.793100974919,0.008364031966218821,-0.11361298515529783,723.3635124870519,142.42694535528986,0.4316469321851453,0.46320346320346323,16.373082637786865,0.0035142898559570312,24,Tanh
